"DateTime","Players","Average Players"
"2025-01-03 04:10:00",385034,
"2025-01-03 04:20:00",379837,
"2025-01-03 04:30:00",375522,
"2025-01-03 04:40:00",370103,
"2025-01-03 04:50:00",364106,
"2025-01-03 05:00:00",357869,285622
"2025-01-03 05:10:00",349531,
"2025-01-03 05:20:00",341706,
"2025-01-03 05:30:00",334768,
"2025-01-03 05:40:00",327943,
"2025-01-03 05:50:00",320278,
"2025-01-03 06:00:00",312701,286312
"2025-01-03 06:10:00",303172,
"2025-01-03 06:20:00",294514,
"2025-01-03 06:30:00",286725,
"2025-01-03 06:40:00",278882,
"2025-01-03 06:50:00",271456,
"2025-01-03 07:00:00",263694,287052
"2025-01-03 07:10:00",256291,
"2025-01-03 07:20:00",248875,
"2025-01-03 07:30:00",241786,
"2025-01-03 07:40:00",234661,
"2025-01-03 07:50:00",228047,
"2025-01-03 08:00:00",220787,287720
"2025-01-03 08:10:00",213606,
"2025-01-03 08:20:00",206627,
"2025-01-03 08:30:00",200523,
"2025-01-03 08:40:00",194096,
"2025-01-03 08:50:00",188768,
"2025-01-03 09:00:00",183742,288205
"2025-01-03 09:10:00",178629,
"2025-01-03 09:20:00",174258,
"2025-01-03 09:30:00",171090,
"2025-01-03 09:40:00",167497,
"2025-01-03 09:50:00",165505,
"2025-01-03 10:00:00",162955,288558
"2025-01-03 10:10:00",161331,
"2025-01-03 10:20:00",160066,
"2025-01-03 10:30:00",159425,
"2025-01-03 10:40:00",159625,
"2025-01-03 10:50:00",160261,
"2025-01-03 11:00:00",160536,288937
"2025-01-03 11:10:00",161201,
"2025-01-03 11:20:00",162384,
"2025-01-03 11:30:00",164095,
"2025-01-03 11:40:00",165978,
"2025-01-03 11:50:00",168022,
"2025-01-03 12:00:00",170458,289229
"2025-01-03 12:10:00",173308,
"2025-01-03 12:20:00",176339,
"2025-01-03 12:30:00",179637,
"2025-01-03 12:40:00",183439,
"2025-01-03 12:50:00",186922,
"2025-01-03 13:00:00",190413,289594
"2025-01-03 13:10:00",194812,
"2025-01-03 13:20:00",199483,
"2025-01-03 13:30:00",203458,
"2025-01-03 13:40:00",208599,
"2025-01-03 13:50:00",213062,
"2025-01-03 14:00:00",216735,290128
"2025-01-03 14:10:00",220401,
"2025-01-03 14:20:00",224464,
"2025-01-03 14:30:00",227994,
"2025-01-03 14:40:00",231807,
"2025-01-03 14:50:00",235534,
"2025-01-03 15:00:00",237818,290781
"2025-01-03 15:10:00",240283,
"2025-01-03 15:20:00",242674,
"2025-01-03 15:30:00",244998,
"2025-01-03 15:40:00",247203,
"2025-01-03 15:50:00",249200,
"2025-01-03 16:00:00",250390,291505
"2025-01-03 16:10:00",251513,
"2025-01-03 16:20:00",252758,
"2025-01-03 16:30:00",254488,
"2025-01-03 16:40:00",255999,
"2025-01-03 16:50:00",257497,
"2025-01-03 17:00:00",259343,292216
"2025-01-03 17:10:00",261142,
"2025-01-03 17:20:00",263418,
"2025-01-03 17:30:00",265627,
"2025-01-03 17:40:00",268542,
"2025-01-03 17:50:00",270933,
"2025-01-03 18:00:00",272559,292838
"2025-01-03 18:10:00",274347,
"2025-01-03 18:20:00",277191,
"2025-01-03 18:30:00",279879,
"2025-01-03 18:40:00",283496,
"2025-01-03 18:50:00",287332,
"2025-01-03 19:00:00",290026,293461
"2025-01-03 19:10:00",293367,
"2025-01-03 19:20:00",297420,
"2025-01-03 19:30:00",301114,
